Match Id,Match,Bowling_team,Bowler_name,Overs,Maiden,Runs,Wickets,Economy,0s,4s,6s,Wides,NoBalls
T20I # 2724,England vs India-2Nd-Semi-Final-1415754,India,Adil Rashid,4,0,25,1,6.25,9,3,0,0,0
T20I # 2724,England vs India-2Nd-Semi-Final-1415754,India,Chris Jordan,3,0,37,3,12.33,4,0,4,0,0
T20I # 2724,England vs India-2Nd-Semi-Final-1415754,India,Liam Livingstone,4,0,24,0,6,9,1,1,1,0
T20I # 2724,England vs India-2Nd-Semi-Final-1415754,England,Arshdeep Singh,2,0,17,0,8.5,5,3,0,0,0
T20I # 2724,England vs India-2Nd-Semi-Final-1415754,England,Jasprit Bumrah,2.4,0,12,2,4.5,8,1,0,0,0
T20I # 2724,England vs India-2Nd-Semi-Final-1415754,England,Axar Patel,4,0,23,3,5.75,10,0,1,0,0
T20I # 2724,England vs India-2Nd-Semi-Final-1415754,England,Kuldeep Yadav,4,0,19,3,4.75,12,2,0,0,0
T20I # 2724,England vs India-2Nd-Semi-Final-1415754,England,Ravindra Jadeja,3,0,16,0,5.33,6,1,0,0,0
T20I # 2724,England vs India-2Nd-Semi-Final-1415754,England,Hardik Pandya,1,0,14,0,14,1,1,1,0,0
T20I # 2723,Afghanistan vs South-Africa-1St-Semi-Final-1415753,Afghanistan,Marco Jansen,3,0,16,3,5.33,13,2,0,4,0
T20I # 2723,Afghanistan vs South-Africa-1St-Semi-Final-1415753,Afghanistan,Keshav Maharaj,1,0,6,0,6,3,1,0,0,0
T20I # 2723,Afghanistan vs South-Africa-1St-Semi-Final-1415753,Afghanistan,Kagiso Rabada,3,1,14,2,4.66,13,3,0,0,0
T20I # 2723,Afghanistan vs South-Africa-1St-Semi-Final-1415753,Afghanistan,Anrich Nortje,3,0,7,2,2.33,14,0,0,1,0
T20I # 2723,Afghanistan vs South-Africa-1St-Semi-Final-1415753,Afghanistan,Tabraiz Shamsi,1.5,0,6,3,3.27,9,1,0,1,0
T20I # 2723,Afghanistan vs South-Africa-1St-Semi-Final-1415753,South Africa,Naveen-ul-Haq,3,0,15,0,5,12,2,0,1,0
T20I # 2723,Afghanistan vs South-Africa-1St-Semi-Final-1415753,South Africa,Fazalhaq Farooqi,2,0,11,1,5.5,9,2,0,1,0
T20I # 2723,Afghanistan vs South-Africa-1St-Semi-Final-1415753,South Africa,Rashid Khan,1,0,8,0,8,2,1,0,0,0
T20I # 2723,Afghanistan vs South-Africa-1St-Semi-Final-1415753,South Africa,Azmatullah Omarzai,1.5,0,18,0,9.81,6,2,1,0,1
T20I # 2723,Afghanistan vs South-Africa-1St-Semi-Final-1415753,South Africa,Gulbadin Naib,1,0,8,0,8,2,1,0,0,0
T20I # 2722,Afghanistan vs Bangladesh-52Nd-Match-Super-Eights-Group-1-1415752,Afghanistan,Tanzim Hasan Sakib,4,0,36,0,9,9,1,2,1,0
T20I # 2722,Afghanistan vs Bangladesh-52Nd-Match-Super-Eights-Group-1-1415752,Afghanistan,Taskin Ahmed,4,1,12,1,3,19,0,1,0,0
T20I # 2722,Afghanistan vs Bangladesh-52Nd-Match-Super-Eights-Group-1-1415752,Afghanistan,Shakib Al Hasan,4,0,19,0,4.75,11,0,1,0,0
T20I # 2722,Afghanistan vs Bangladesh-52Nd-Match-Super-Eights-Group-1-1415752,Afghanistan,Mustafizur Rahman,4,0,17,1,4.25,14,2,0,0,0
T20I # 2722,Afghanistan vs Bangladesh-52Nd-Match-Super-Eights-Group-1-1415752,Afghanistan,Rishad Hossain,4,0,26,3,6.5,13,3,0,1,0
T20I # 2722,Afghanistan vs Bangladesh-52Nd-Match-Super-Eights-Group-1-1415752,Bangladesh,Naveen-ul-Haq,3.5,0,26,4,6.78,12,3,1,0,0
T20I # 2722,Afghanistan vs Bangladesh-52Nd-Match-Super-Eights-Group-1-1415752,Bangladesh,Fazalhaq Farooqi,2,0,15,1,7.5,3,1,0,2,0
T20I # 2722,Afghanistan vs Bangladesh-52Nd-Match-Super-Eights-Group-1-1415752,Bangladesh,Mohammad Nabi,2,0,15,0,7.5,5,2,0,0,0
