Match Id,Match Name,Team_Inning,BatsmanName,Batting Pos,Out By,Not Out / Out,Runs,Balls,4s,6s,SR(strike rate)
T20I # 2723,Afghanistan vs South-Africa-1St-Semi-Final-1415753,South Africa,Quinton de Kock ,1,b Fazalhaq Farooqi,Out,5,8,1,0,62.5
T20I # 2723,Afghanistan vs South-Africa-1St-Semi-Final-1415753,South Africa,Reeza Hendricks,2,not out,Not_Out,29,25,3,1,116
T20I # 2723,Afghanistan vs South-Africa-1St-Semi-Final-1415753,South Africa,Aiden Markram (c),3,not out,Not_Out,23,21,4,0,109.52
T20I # 2722,Afghanistan vs Bangladesh-52Nd-Match-Super-Eights-Group-1-1415752,Afghanistan,Rahmanullah Gurbaz ,1,c Soumya Sarkar b Rishad Hossain,Out,43,55,3,1,78.18
T20I # 2722,Afghanistan vs Bangladesh-52Nd-Match-Super-Eights-Group-1-1415752,Afghanistan,Ibrahim Zadran,2,c Tanzim Hasan Sakib b Rishad Hossain,Out,18,29,1,0,62.06
T20I # 2722,Afghanistan vs Bangladesh-52Nd-Match-Super-Eights-Group-1-1415752,Afghanistan,Azmatullah Omarzai,3,c Litton Das b Mustafizur Rahman,Out,10,12,0,0,83.33
T20I # 2722,Afghanistan vs Bangladesh-52Nd-Match-Super-Eights-Group-1-1415752,Afghanistan,Gulbadin Naib,4,c Soumya Sarkar b Rishad Hossain,Out,4,3,1,0,133.33
T20I # 2722,Afghanistan vs Bangladesh-52Nd-Match-Super-Eights-Group-1-1415752,Afghanistan,Mohammad Nabi,5,c Najmul Hossain Shanto b Taskin Ahmed,Out,1,5,0,0,20
T20I # 2722,Afghanistan vs Bangladesh-52Nd-Match-Super-Eights-Group-1-1415752,Afghanistan,Karim Janat,6,not out,Not_Out,7,6,1,0,116.66
T20I # 2722,Afghanistan vs Bangladesh-52Nd-Match-Super-Eights-Group-1-1415752,Afghanistan,Rashid Khan (c),7,not out,Not_Out,19,10,0,3,190
T20I # 2722,Afghanistan vs Bangladesh-52Nd-Match-Super-Eights-Group-1-1415752,Bangladesh,Litton Das ,1,not out,Not_Out,54,49,5,1,110.2
T20I # 2722,Afghanistan vs Bangladesh-52Nd-Match-Super-Eights-Group-1-1415752,Bangladesh,Tanzid Hasan,2,lbw b Fazalhaq Farooqi,Out,0,3,0,0,0
T20I # 2722,Afghanistan vs Bangladesh-52Nd-Match-Super-Eights-Group-1-1415752,Bangladesh,Najmul Hossain Shanto (c),3,c Mohammad Nabi b Naveen-ul-Haq,Out,5,5,1,0,100
T20I # 2722,Afghanistan vs Bangladesh-52Nd-Match-Super-Eights-Group-1-1415752,Bangladesh,Shakib Al Hasan,4,c & b Naveen-ul-Haq,Out,0,1,0,0,0
T20I # 2722,Afghanistan vs Bangladesh-52Nd-Match-Super-Eights-Group-1-1415752,Bangladesh,Soumya Sarkar,5,b Rashid Khan,Out,10,10,1,0,100
T20I # 2722,Afghanistan vs Bangladesh-52Nd-Match-Super-Eights-Group-1-1415752,Bangladesh,Towhid Hridoy,6,c Ibrahim Zadran b Rashid Khan,Out,14,9,2,0,155.55
